                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.8504,                 5.0596,                 3.8163,                 1.8761,                0.01345,                0.67238,                0.04723,                0.01601,                 0.0096,                0.36794,                0.04814,                0.01458,                 1.6911,                 4.6762,                 3.6248,                 1.6574,                 0.0955,                 0.0005,                 0.0005
                      1,                  1.581,                 4.3493,                 3.7809,                 1.7063,                0.01229,                0.65392,                0.05873,                0.02402,                0.00903,                0.37567,                0.04049,                  0.014,                  1.446,                 3.7667,                 3.5925,                 1.5228,               0.089991,              0.0009911,              0.0009911
                      2,                 1.3688,                  3.684,                  3.716,                 1.5673,                0.01382,                 0.7052,                0.07602,                 0.0308,                0.01134,                0.49123,                0.04771,                0.01626,                 1.3817,                  3.706,                 3.6494,                 1.5234,               0.084363,              0.0013634,              0.0013634
                      3,                 1.3025,                 3.3981,                 3.6561,                 1.5532,                0.01387,                0.69985,                0.10705,                 0.0404,                0.00963,                0.41148,                0.04338,                0.01494,                 1.3329,                 3.6741,                 3.6327,                 1.4655,               0.078617,              0.0016169,              0.0016169
                      4,                 1.1583,                 2.8431,                 3.6492,                 1.4445,                0.01271,                0.67159,                0.10301,                0.05152,                0.00978,                0.40543,                0.07868,                0.03207,                  1.231,                 3.5427,                 3.6268,                 1.4021,               0.072752,              0.0017516,              0.0017516
                      5,                 1.1273,                 2.8838,                 3.5765,                 1.4101,                0.01242,                0.65877,                0.15561,                0.06365,                0.01104,                0.44472,                0.09712,                0.04269,                 1.2093,                 3.4589,                 3.5855,                 1.3577,               0.066768,              0.0017675,              0.0017675
                      6,                 1.0349,                 2.4815,                  3.486,                 1.3598,                0.01271,                0.67159,                0.14947,                0.06477,                0.01145,                0.46775,                0.08792,                 0.0392,                 1.1377,                 3.0597,                 3.5477,                 1.2645,               0.060665,              0.0016646,              0.0016646
                      7,                0.99569,                 2.3438,                 3.4178,                  1.351,                0.01382,                0.69119,                0.17211,                0.06803,                0.01059,                0.42628,                0.08794,                0.04154,                 1.0507,                 3.0931,                 3.5117,                 1.2188,               0.054443,              0.0014429,              0.0014429
                      8,                0.94868,                 2.1625,                 3.3915,                 1.3104,                 0.0143,                  0.701,                0.18152,                0.08801,                0.01152,                0.45756,                0.15649,                0.06202,                 1.0682,                 3.1087,                 3.4935,                 1.2236,               0.048102,              0.0011024,              0.0011024
                      9,                0.94219,                  2.065,                 3.3273,                 1.2748,                0.01418,                  0.715,                0.20981,                0.09784,                0.01217,                0.48553,                0.15547,                0.07255,                 1.1038,                  3.189,                 3.4751,                 1.2577,               0.041643,              0.0006431,              0.0006431
