                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     23,                 1.2176,                 1.8562,                 1.9497,                 1.5284,                0.52559,                  0.436,                0.45997,                0.32029,                0.44832,                0.29125,                0.27028,                0.13586,                 1.6857,                   3.93,                 2.2951,                 1.7197,               0.009249,               0.009249,               0.009249
                     24,                 1.0875,                 1.7223,                 1.7567,                 1.4408,                0.66963,                0.40797,                0.46196,                0.33933,                0.41206,                0.26644,                0.26326,                0.13752,                 1.6448,                  3.705,                 2.2747,                 1.7007,              0.0092148,              0.0092148,              0.0092148
                     25,                 1.1105,                 1.7376,                 1.7586,                 1.4584,                0.57049,                  0.523,                0.51391,                0.32045,                0.43573,                0.27681,                   0.28,                0.16222,                 1.6414,                 3.7553,                 2.2161,                 1.7161,              0.0091807,              0.0091807,              0.0091807
                     26,                  1.097,                  1.673,                 1.7219,                 1.4385,                0.59058,                0.44519,                0.50387,                0.30505,                0.48755,                0.27893,                0.30441,                 0.1419,                 1.7283,                 3.7179,                 2.3258,                 1.7882,              0.0091466,              0.0091466,              0.0091466
                     27,                 1.0966,                 1.6085,                 1.6962,                 1.4122,                0.58304,                0.45037,                0.48806,                0.33043,                0.47348,                0.31218,                0.29448,                0.15632,                 1.6842,                 3.4158,                 2.2869,                 1.7233,              0.0091124,              0.0091124,              0.0091124
                     28,                 1.0675,                 1.4863,                 1.6276,                 1.4089,                0.69455,                0.41789,                0.53958,                0.35484,                0.45205,                0.29878,                 0.3322,                0.17716,                 1.6823,                 3.5373,                  2.168,                 1.6628,              0.0090783,              0.0090783,              0.0090783
                     29,                 1.0076,                 1.6051,                 1.5718,                 1.3575,                0.73555,                0.44532,                0.54615,                0.39713,                0.51489,                0.29881,                0.31658,                0.19322,                 1.6714,                 3.6725,                 2.1179,                 1.6508,              0.0090441,              0.0090441,              0.0090441
                     30,                 1.0099,                 1.5352,                 1.5969,                 1.3339,                0.78098,                0.41263,                0.54515,                0.40678,                0.53714,                0.33768,                0.35429,                0.19528,                 1.6281,                 3.5507,                 2.1591,                 1.6344,                0.00901,                0.00901,                0.00901
                     31,                0.98976,                 1.5636,                 1.5531,                  1.333,                0.81916,                0.37787,                0.52662,                  0.378,                0.42478,                 0.3597,                0.33896,                0.20392,                 1.5501,                 3.0798,                 2.1578,                 1.5856,              0.0089759,              0.0089759,              0.0089759
                     32,                0.94455,                 1.4927,                 1.5014,                   1.28,                0.74474,                  0.428,                0.56985,                0.41931,                0.55618,                0.31806,                0.37033,                0.22548,                 1.5808,                 3.2703,                  2.173,                 1.5748,              0.0089417,              0.0089417,              0.0089417
