                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    100,                0.47889,                0.67915,                0.60655,                0.94356,                0.83474,                0.51949,                 0.6112,                0.44203,                0.62718,                0.36605,                0.43244,                 0.2887,                 1.4007,                 3.1694,                 1.9382,                 1.5263,              0.0066203,              0.0066203,              0.0066203
                    101,                0.48772,                0.66408,                0.63171,                0.93549,                0.82116,                0.50433,                0.61856,                0.44544,                0.50375,                0.43917,                0.43252,                0.27715,                 1.4083,                 3.0562,                 1.8558,                 1.5198,              0.0065862,              0.0065862,              0.0065862
                    102,                0.48873,                0.72745,                0.63445,                 0.9441,                0.75778,                0.51342,                0.61858,                0.45122,                0.60354,                0.38391,                0.43909,                0.28881,                 1.4057,                 3.1908,                  1.921,                 1.5177,              0.0065521,              0.0065521,              0.0065521
                    103,                0.47749,                0.70875,                0.59985,                0.93491,                0.76651,                0.51422,                0.62167,                0.45017,                0.50742,                0.42799,                0.43514,                0.27829,                 1.3343,                 3.3411,                  1.894,                 1.4746,              0.0065179,              0.0065179,              0.0065179
                    104,                0.47303,                0.68329,                 0.5889,                0.94006,                0.64299,                0.57292,                0.61747,                0.45078,                0.53016,                0.40798,                0.42057,                0.27697,                 1.2848,                 3.1696,                 1.8888,                 1.4368,              0.0064838,              0.0064838,              0.0064838
                    105,                0.47154,                0.69329,                0.58677,                0.93565,                0.75146,                0.51723,                 0.6283,                0.44586,                0.49771,                0.38203,                0.42767,                0.28008,                 1.3891,                 3.2676,                 1.9923,                 1.5005,              0.0064497,              0.0064497,              0.0064497
                    106,                  0.511,                0.71581,                 0.6229,                0.94901,                0.77833,                0.55072,                0.64801,                0.44203,                0.55234,                0.39748,                0.43245,                0.27798,                  1.393,                 3.1443,                 1.9919,                 1.5077,              0.0064155,              0.0064155,              0.0064155
                    107,                0.48509,                 0.6722,                0.58709,                0.93573,                0.78293,                0.55393,                0.67438,                0.45285,                0.59526,                0.37018,                0.43686,                0.29626,                 1.4059,                  3.265,                 1.8791,                 1.4892,              0.0063814,              0.0063814,              0.0063814
                    108,                0.48448,                0.70915,                0.60085,                 0.9365,                0.71047,                0.52997,                0.63873,                0.44291,                0.59016,                0.35921,                0.42546,                0.29022,                 1.4003,                 3.1853,                  1.913,                 1.4925,              0.0063472,              0.0063472,              0.0063472
                    109,                0.46979,                0.64812,                0.58454,                0.94014,                0.71353,                0.54434,                0.63855,                  0.466,                0.59938,                0.37327,                0.44402,                0.29492,                 1.4217,                 3.1564,                 1.8698,                 1.5163,              0.0063131,              0.0063131,              0.0063131
                    110,                0.45583,                0.63612,                0.57197,                0.92755,                0.79227,                0.54525,                0.65265,                 0.4649,                0.58755,                0.38568,                0.43783,                 0.2886,                 1.4197,                 3.0727,                 1.8969,                 1.5042,               0.006279,               0.006279,               0.006279
                    111,                0.46201,                0.64151,                0.57404,                0.96348,                0.64941,                0.59573,                0.66976,                0.48186,                0.57386,                0.43785,                0.48444,                0.31957,                 1.3721,                 3.0804,                 1.8105,                 1.4848,              0.0062448,              0.0062448,              0.0062448
                    112,                0.48417,                0.67264,                0.57369,                0.91822,                0.65387,                0.58574,                0.64934,                0.44505,                0.57544,                 0.4324,                0.47984,                0.29839,                 1.4337,                  3.141,                 1.8001,                 1.5061,              0.0062107,              0.0062107,              0.0062107
                    113,                0.44872,                0.63816,                0.55968,                0.93291,                0.80272,                0.52174,                0.64747,                0.44793,                0.61369,                0.37635,                0.45848,                0.29232,                 1.4324,                 3.2793,                 1.8799,                 1.5096,              0.0061766,              0.0061766,              0.0061766
                    114,                0.46735,                0.65377,                0.57061,                0.92941,                0.81287,                0.51003,                0.62486,                0.45062,                0.69632,                0.35925,                0.45119,                0.29024,                 1.4294,                 3.1946,                 1.8242,                 1.4932,              0.0061424,              0.0061424,              0.0061424
                    115,                0.46853,                0.65984,                0.56316,                0.94147,                0.82989,                0.50001,                 0.6267,                  0.455,                0.59464,                0.36653,                0.42401,                0.28136,                 1.4348,                 3.1647,                 1.8392,                 1.5023,              0.0061083,              0.0061083,              0.0061083
                    116,                0.45186,                0.64949,                0.56089,                0.93159,                0.76817,                0.51048,                0.63068,                0.45997,                0.55137,                0.37831,                0.45175,                0.27957,                 1.3929,                 3.1479,                 1.7796,                 1.4703,              0.0060741,              0.0060741,              0.0060741
                    117,                0.44109,                0.64586,                0.55272,                0.92355,                0.80444,                0.51335,                0.65146,                0.45673,                0.66786,                0.36017,                0.47596,                0.30284,                 1.3873,                 3.1552,                 1.7957,                 1.4563,                0.00604,                0.00604,                0.00604
                    118,                0.46493,                0.66047,                 0.5762,                 0.9283,                0.75294,                 0.5184,                 0.6314,                0.46342,                0.66257,                 0.3663,                0.46342,                0.30288,                 1.4004,                 3.1993,                 1.8378,                 1.4779,              0.0060059,              0.0060059,              0.0060059
                    119,                0.46468,                 0.6124,                0.56661,                0.93576,                0.67062,                0.60312,                0.64802,                0.46408,                0.56972,                0.42176,                 0.4661,                0.30056,                 1.3412,                 3.2774,                 1.8958,                 1.4547,              0.0059717,              0.0059717,              0.0059717
                    120,                0.46024,                0.63992,                0.57265,                0.92312,                0.67381,                0.60319,                0.64911,                0.46111,                0.57198,                0.42348,                0.46928,                0.29231,                 1.3568,                 3.2104,                 1.8525,                 1.4687,              0.0059376,              0.0059376,              0.0059376
                    121,                0.46545,                0.61314,                0.56969,                0.93058,                0.82371,                0.52067,                0.65968,                  0.461,                0.55706,                0.39521,                0.46447,                0.29938,                 1.3807,                  3.165,                 1.8642,                 1.4651,              0.0059034,              0.0059034,              0.0059034
                    122,                0.46707,                0.65249,                0.56352,                0.92523,                0.60415,                0.60343,                0.63623,                0.45475,                0.56595,                0.40021,                0.45946,                0.29186,                 1.3705,                 3.1402,                 1.8624,                 1.4682,              0.0058693,              0.0058693,              0.0058693
                    123,                0.43588,                0.61518,                 0.5377,                0.91479,                0.65821,                0.60923,                0.63277,                0.44933,                0.56334,                0.43104,                0.45537,                0.29104,                 1.3322,                 3.1848,                 1.8483,                 1.4564,              0.0058352,              0.0058352,              0.0058352
                    124,                0.45447,                0.68529,                0.55647,                0.91392,                0.79596,                0.51246,                0.63964,                0.45266,                 0.6945,                0.35882,                 0.4523,                0.29782,                 1.3294,                 3.3221,                 1.8462,                 1.4396,               0.005801,               0.005801,               0.005801
                    125,                0.41569,                0.58287,                0.52962,                0.90836,                0.77581,                0.51273,                0.62975,                0.44446,                0.68465,                0.35818,                0.44581,                0.29781,                 1.3212,                 3.3145,                 1.8555,                 1.4434,              0.0057669,              0.0057669,              0.0057669
                    126,                 0.4569,                0.62472,                 0.5378,                0.91855,                0.76338,                0.50949,                0.63592,                0.45217,                0.66712,                0.36002,                 0.4631,                0.30112,                 1.3102,                 3.3627,                 1.8454,                 1.4387,              0.0057328,              0.0057328,              0.0057328
                    127,                0.42578,                0.61749,                0.52516,                0.91676,                0.80075,                0.52361,                0.64628,                0.47759,                0.70892,                0.36967,                0.46771,                0.29918,                 1.3142,                 3.3637,                 1.8437,                 1.4367,              0.0056986,              0.0056986,              0.0056986
                    128,                0.42248,                0.60578,                0.52243,                0.92972,                0.81345,                0.49753,                 0.6407,                 0.4791,                0.53277,                0.41113,                0.48101,                0.31182,                 1.2603,                 3.2031,                 1.8074,                 1.4055,              0.0056645,              0.0056645,              0.0056645
                    129,                0.42898,                0.60346,                0.52401,                0.90224,                0.79264,                0.53081,                0.64384,                 0.4844,                0.67376,                0.35997,                0.44606,                0.30608,                 1.2454,                 3.1759,                 1.8257,                 1.3884,              0.0056303,              0.0056303,              0.0056303
                    130,                0.44484,                0.60802,                0.52987,                0.92364,                0.81059,                0.54019,                0.65171,                 0.4892,                0.63502,                0.38682,                0.45031,                0.31405,                 1.2723,                 3.2102,                 1.8441,                  1.386,              0.0055962,              0.0055962,              0.0055962
                    131,                0.44358,                0.58678,                 0.5319,                0.92252,                0.80642,                0.52074,                0.66926,                0.49497,                0.55209,                0.39208,                 0.4533,                0.31807,                 1.2802,                 3.1414,                   1.79,                 1.3845,              0.0055621,              0.0055621,              0.0055621
                    132,                0.42988,                0.58307,                 0.5272,                0.90204,                0.78767,                0.52794,                0.66213,                0.50044,                0.58153,                0.40323,                0.46307,                  0.326,                 1.2622,                 3.1441,                 1.7933,                  1.382,              0.0055279,              0.0055279,              0.0055279
                    133,                0.41538,                0.59087,                0.52733,                0.90694,                0.72831,                0.54507,                0.66453,                0.49981,                0.55457,                0.41028,                0.46096,                0.31305,                 1.2977,                  3.307,                 1.8013,                 1.4306,              0.0054938,              0.0054938,              0.0054938
                    134,                0.42286,                0.58198,                0.50961,                 0.9234,                0.70031,                0.54558,                0.64747,                0.48758,                0.52661,                0.41801,                0.45582,                0.30934,                 1.2536,                 3.2491,                 1.7941,                 1.4103,              0.0054597,              0.0054597,              0.0054597
                    135,                0.41072,                0.58168,                0.52119,                0.91839,                0.67234,                0.58724,                0.64277,                0.49022,                 0.5919,                0.42979,                0.44239,                0.30747,                 1.2773,                 3.1998,                 1.8449,                 1.4384,              0.0054255,              0.0054255,              0.0054255
                    136,                0.42346,                0.58619,                0.52372,                0.91383,                0.66498,                0.59439,                0.65379,                0.48685,                0.56865,                0.42992,                0.45297,                0.31329,                 1.2938,                 3.2191,                 1.8084,                 1.4424,              0.0053914,              0.0053914,              0.0053914
                    137,                 0.4273,                0.57798,                0.51315,                0.89543,                0.66071,                0.57483,                0.64871,                0.46316,                0.56387,                0.40852,                0.44992,                0.31732,                 1.2949,                 3.2495,                 1.8218,                  1.442,              0.0053572,              0.0053572,              0.0053572
                    138,                0.42909,                 0.5834,                0.51374,                0.91531,                0.70103,                0.57349,                0.65299,                0.45878,                0.60332,                0.40209,                0.45061,                0.31444,                 1.2853,                 3.2731,                 1.8006,                 1.4393,              0.0053231,              0.0053231,              0.0053231
                    139,                0.42178,                0.60963,                0.51419,                0.92132,                0.69996,                0.57455,                0.64666,                0.45726,                0.59787,                0.40913,                0.45681,                0.31175,                 1.2477,                  3.309,                 1.7931,                 1.4063,               0.005289,               0.005289,               0.005289
                    140,                 0.4217,                0.61622,                0.49896,                0.90275,                0.67967,                0.56195,                0.64964,                0.48616,                0.56364,                0.42063,                 0.4586,                0.31233,                 1.2514,                 3.2211,                 1.7213,                 1.3984,              0.0052548,              0.0052548,              0.0052548
                    141,                0.41643,                0.58996,                0.50258,                0.90752,                0.67045,                0.58928,                0.67051,                0.47373,                0.57921,                0.44975,                0.48465,                0.31557,                 1.2654,                  3.343,                 1.7584,                 1.3982,              0.0052207,              0.0052207,              0.0052207
                    142,                0.41484,                0.60346,                0.49576,                0.90891,                0.71674,                 0.5827,                0.67948,                 0.4958,                0.59419,                0.40404,                0.47865,                0.32248,                 1.2548,                 3.3542,                  1.758,                 1.3865,              0.0051866,              0.0051866,              0.0051866
                    143,                0.42428,                0.58925,                0.50058,                0.91704,                0.72135,                0.55502,                0.67016,                0.49863,                0.59118,                0.43142,                0.49274,                0.31181,                 1.2668,                 3.2721,                 1.7937,                 1.4007,              0.0051524,              0.0051524,              0.0051524
                    144,                 0.4236,                0.55403,                 0.5015,                0.90911,                0.76687,                0.57043,                0.68056,                0.50765,                0.65096,                0.42354,                0.49924,                0.33322,                 1.2754,                 3.2488,                 1.8091,                 1.4115,              0.0051183,              0.0051183,              0.0051183
                    145,                0.41895,                0.61792,                0.50967,                0.90422,                0.71037,                0.55485,                0.66601,                0.49358,                0.62124,                0.41196,                0.48307,                0.31442,                 1.3013,                 3.1973,                 1.8637,                 1.4326,              0.0050841,              0.0050841,              0.0050841
                    146,                0.41682,                0.57325,                0.50329,                0.91837,                0.72982,                0.57455,                0.66573,                0.49067,                0.64599,                0.41769,                 0.4856,                0.31899,                 1.3128,                 3.1714,                 1.8877,                 1.4324,                0.00505,                0.00505,                0.00505
                    147,                0.40478,                0.55251,                0.49151,                0.89977,                0.74736,                0.58659,                 0.6648,                0.50491,                0.66227,                0.43767,                0.49614,                 0.3312,                 1.3397,                 3.3857,                 1.8604,                 1.4254,              0.0050159,              0.0050159,              0.0050159
                    148,                0.39837,                0.55013,                0.50076,                0.89527,                0.72978,                0.57926,                0.66429,                0.49265,                   0.63,                0.42608,                0.49512,                0.32478,                 1.3084,                 3.3957,                 1.8247,                 1.4224,              0.0049817,              0.0049817,              0.0049817
                    149,                0.40126,                0.58281,                0.48975,                0.89511,                0.65889,                0.59836,                0.64756,                0.48962,                 0.5585,                 0.4415,                0.47851,                0.32167,                 1.2799,                 3.3049,                 1.8274,                 1.4178,              0.0049476,              0.0049476,              0.0049476
                    150,                0.42133,                0.59509,                0.49941,                0.90662,                0.67684,                0.59836,                0.65865,                0.49998,                0.59888,                0.44133,                0.47858,                0.33488,                 1.2473,                 3.2789,                 1.8188,                 1.4068,              0.0049134,              0.0049134,              0.0049134
                    151,                0.41164,                0.58062,                0.49313,                0.91032,                0.67471,                0.59836,                0.67406,                0.50847,                 0.5925,                 0.4415,                0.48972,                0.33341,                  1.271,                 3.4103,                 1.7924,                 1.4174,              0.0048793,              0.0048793,              0.0048793
                    152,                0.41003,                0.57834,                0.49376,                  0.897,                0.69039,                0.60613,                0.66738,                0.50747,                0.61453,                0.47135,                0.48466,                0.33068,                 1.2532,                 3.4099,                  1.773,                  1.403,              0.0048452,              0.0048452,              0.0048452
                    153,                0.40042,                0.56348,                 0.4781,                0.89264,                0.77948,                0.50523,                0.65192,                 0.4943,                0.51211,                0.42759,                0.46858,                0.32397,                 1.2277,                 3.3129,                 1.7825,                 1.3844,               0.004811,               0.004811,               0.004811
                    154,                0.41297,                0.57612,                0.49551,                0.89669,                0.72529,                0.53903,                0.64595,                0.49036,                0.62299,                  0.389,                0.46942,                0.31567,                 1.2467,                 3.4059,                 1.8131,                 1.4043,              0.0047769,              0.0047769,              0.0047769
                    155,                0.41482,                0.58781,                0.50141,                0.90283,                0.75476,                0.55686,                0.65228,                0.48688,                0.65223,                 0.3888,                0.45417,                0.31867,                  1.263,                   3.41,                  1.867,                 1.4339,              0.0047428,              0.0047428,              0.0047428
                    156,                0.41509,                0.57412,                0.50636,                0.91758,                0.74658,                 0.5452,                0.64695,                0.48447,                0.63448,                0.37338,                 0.4484,                0.31348,                 1.2751,                 3.2885,                 1.8753,                 1.4333,              0.0047086,              0.0047086,              0.0047086
                    157,                0.40307,                0.57367,                0.47611,                0.89998,                   0.81,                0.51184,                0.63938,                 0.4818,                 0.6524,                0.38023,                0.46923,                0.31549,                 1.2872,                 3.2933,                 1.8423,                 1.4244,              0.0046745,              0.0046745,              0.0046745
                    158,                0.40347,                0.55717,                0.48835,                0.90104,                0.74415,                0.54163,                 0.6572,                0.49132,                 0.6754,                0.39063,                0.49116,                0.32642,                 1.2595,                 3.3035,                 1.8188,                 1.4105,              0.0046403,              0.0046403,              0.0046403
                    159,                0.40343,                0.57694,                0.48253,                0.89391,                0.72939,                0.53824,                0.65103,                0.50455,                0.53915,                0.41715,                0.47241,                0.31863,                 1.2795,                 3.4008,                 1.7944,                 1.4283,              0.0046062,              0.0046062,              0.0046062
                    160,                0.40315,                0.57109,                0.49721,                0.89179,                0.73102,                0.53687,                 0.6539,                0.50176,                0.63664,                0.37463,                0.47387,                0.31983,                 1.2998,                 3.3883,                 1.8191,                 1.4432,              0.0045721,              0.0045721,              0.0045721
                    161,                0.42638,                 0.5903,                0.49612,                0.90094,                0.82788,                0.51502,                0.66438,                0.51107,                 0.5697,                0.44142,                0.47786,                0.32037,                 1.3144,                 3.4702,                  1.772,                 1.4413,              0.0045379,              0.0045379,              0.0045379
                    162,                 0.3893,                0.57478,                0.48127,                0.88521,                0.72807,                0.55498,                 0.6641,                0.51416,                0.56922,                0.43445,                0.47407,                 0.3273,                 1.2984,                 3.4755,                 1.7253,                 1.4371,              0.0045038,              0.0045038,              0.0045038
                    163,                0.38313,                0.55891,                0.46634,                0.87795,                0.80132,                0.50015,                0.65594,                0.49506,                0.53831,                0.41516,                0.47444,                0.32473,                 1.3184,                 3.2354,                 1.7485,                 1.4415,              0.0044697,              0.0044697,              0.0044697
                    164,                0.39749,                0.55555,                0.48232,                0.90593,                0.75042,                0.53422,                0.66724,                0.51591,                 0.5663,                0.42163,                0.48158,                0.32664,                 1.2991,                 3.3002,                 1.7339,                 1.4351,              0.0044355,              0.0044355,              0.0044355
                    165,                0.40537,                0.58754,                0.47534,                0.88889,                0.71234,                 0.5449,                0.67055,                0.50775,                0.54193,                0.38923,                0.46208,                0.32512,                 1.2647,                 3.2547,                 1.7718,                 1.4252,              0.0044014,              0.0044014,              0.0044014
                    166,                0.38384,                0.55946,                 0.4631,                0.88901,                0.78281,                0.52928,                0.66731,                0.49766,                0.56109,                 0.4129,                0.47745,                0.32573,                 1.2578,                 3.4522,                 1.7435,                 1.4124,              0.0043672,              0.0043672,              0.0043672
                    167,                0.39647,                0.57348,                0.47562,                0.89498,                0.68672,                  0.566,                0.65485,                0.48937,                0.58004,                0.40707,                0.46804,                0.31581,                 1.2704,                 3.3274,                 1.7917,                 1.4197,              0.0043331,              0.0043331,              0.0043331
                    168,                0.38183,                0.55651,                0.45777,                0.89024,                0.73005,                  0.558,                0.65842,                0.48383,                0.60241,                0.40889,                0.47438,                0.31878,                 1.2927,                 3.3212,                 1.8267,                 1.4327,               0.004299,               0.004299,               0.004299
                    169,                0.37935,                0.54368,                0.46059,                 0.9004,                0.69668,                0.57347,                0.64093,                0.47262,                0.60978,                0.40418,                0.44497,                0.31444,                 1.2862,                 3.2975,                 1.8175,                 1.4185,              0.0042648,              0.0042648,              0.0042648
                    170,                0.38591,                0.52805,                0.45652,                0.88092,                0.68855,                 0.5906,                0.64313,                0.47211,                0.60847,                0.41542,                 0.4499,                0.30666,                 1.2932,                 3.2402,                 1.8006,                 1.4223,              0.0042307,              0.0042307,              0.0042307
                    171,                0.37265,                0.52557,                0.46339,                0.89382,                0.84169,                0.50135,                0.64081,                0.47137,                0.57075,                0.42115,                0.44995,                0.30126,                 1.2409,                 3.3012,                 1.7804,                 1.4175,              0.0041966,              0.0041966,              0.0041966
                    172,                0.38979,                0.53147,                0.46379,                0.88358,                0.84621,                0.49634,                 0.6407,                0.47764,                0.59162,                0.40789,                0.45129,                0.30075,                 1.2636,                  3.475,                  1.823,                 1.4284,              0.0041624,              0.0041624,              0.0041624
                    173,                0.39795,                0.54023,                0.46859,                0.89335,                0.80809,                0.48413,                0.62593,                 0.4616,                0.55555,                0.38315,                0.43887,                0.30633,                 1.2699,                 3.5316,                 1.8822,                 1.4414,              0.0041283,              0.0041283,              0.0041283
                    174,                0.37563,                0.52229,                 0.4556,                0.88348,                0.81129,                0.49964,                0.62717,                0.46207,                0.64053,                0.36425,                0.44009,                0.30926,                 1.2626,                 3.5461,                 1.8878,                 1.4409,              0.0040941,              0.0040941,              0.0040941
                    175,                0.39662,                0.57622,                 0.4689,                0.89327,                0.83966,                0.49075,                0.63311,                0.46883,                0.69059,                0.35898,                0.44236,                0.31293,                 1.2737,                 3.5477,                 1.8527,                 1.4475,                0.00406,                0.00406,                0.00406
                    176,                0.37607,                 0.5482,                0.45991,                0.87223,                0.84025,                0.48461,                0.63013,                0.46975,                0.68748,                0.34693,                 0.4397,                 0.3126,                 1.2828,                 3.5332,                 1.8474,                  1.446,              0.0040259,              0.0040259,              0.0040259
                    177,                0.39711,                0.55727,                0.47654,                0.90424,                0.76495,                 0.5201,                0.64651,                0.48789,                0.65727,                0.35459,                0.45069,                0.32071,                 1.2812,                 3.5098,                 1.8115,                 1.4265,              0.0039917,              0.0039917,              0.0039917
                    178,                0.35276,                0.52515,                0.44646,                 0.8784,                 0.8313,                0.49753,                0.65487,                0.49164,                 0.6218,                0.37434,                0.45357,                0.32659,                 1.2915,                 3.4365,                  1.825,                 1.4379,              0.0039576,              0.0039576,              0.0039576
                    179,                 0.3809,                0.52331,                0.44356,                0.89514,                 0.8005,                0.51369,                 0.6593,                0.48134,                0.59967,                0.41033,                0.46317,                 0.3132,                 1.2967,                 3.2919,                 1.8189,                 1.4426,              0.0039234,              0.0039234,              0.0039234
                    180,                0.37074,                0.55081,                0.45907,                0.88973,                0.70486,                0.55334,                0.66847,                0.49108,                0.62408,                 0.3972,                0.46572,                0.32339,                   1.27,                 3.2908,                 1.8435,                 1.4238,              0.0038893,              0.0038893,              0.0038893
                    181,                0.38293,                0.55421,                0.45566,                0.89982,                0.81761,                0.51427,                0.67485,                0.50674,                0.57267,                0.40487,                 0.4823,                0.31933,                 1.2682,                 3.2448,                 1.8107,                  1.393,              0.0038552,              0.0038552,              0.0038552
                    182,                0.36739,                0.51238,                 0.4433,                0.86762,                0.82767,                0.51536,                0.66694,                 0.5047,                0.58151,                0.39906,                0.45249,                0.31228,                 1.2681,                 3.2606,                 1.8093,                 1.3947,               0.003821,               0.003821,               0.003821
                    183,                0.37599,                0.51919,                0.45077,                0.87507,                0.82493,                0.51709,                0.66784,                0.50693,                0.60375,                0.37305,                0.47123,                0.32349,                 1.2464,                 3.1008,                 1.8013,                 1.3803,              0.0037869,              0.0037869,              0.0037869
                    184,                0.37635,                0.54736,                0.45287,                0.88084,                0.74249,                0.51997,                0.65955,                0.50206,                0.53395,                0.40032,                0.46505,                0.31812,                 1.2407,                 3.1346,                 1.7978,                 1.3724,              0.0037528,              0.0037528,              0.0037528
                    185,                0.35155,                0.51705,                0.43172,                0.87154,                0.74551,                 0.5308,                0.66257,                0.50237,                0.63391,                0.36291,                0.45726,                0.31715,                 1.2378,                 3.0889,                  1.813,                 1.3687,              0.0037186,              0.0037186,              0.0037186
                    186,                0.38401,                0.54244,                 0.4515,                0.90365,                0.77665,                0.51028,                0.65543,                0.49626,                 0.6189,                0.35611,                0.46084,                0.31562,                 1.2372,                 3.1557,                 1.7651,                 1.3712,              0.0036845,              0.0036845,              0.0036845
                    187,                0.36566,                0.52949,                0.44424,                0.88386,                0.73259,                0.51458,                0.64629,                0.49049,                0.60375,                0.35604,                0.44015,                0.31003,                 1.2489,                 3.1658,                 1.8025,                 1.3823,              0.0036503,              0.0036503,              0.0036503
                    188,                0.36242,                0.52404,                0.44004,                0.89024,                 0.7495,                0.51034,                0.65313,                0.48654,                0.62521,                0.36981,                0.47327,                0.31231,                  1.237,                  3.175,                  1.821,                 1.3749,              0.0036162,              0.0036162,              0.0036162
                    189,                0.38037,                0.56187,                0.45188,                0.89028,                 0.8166,                0.50941,                0.66137,                0.47126,                0.66314,                0.36933,                0.46249,                0.31475,                 1.2569,                  3.267,                 1.7936,                 1.3951,              0.0035821,              0.0035821,              0.0035821
                    190,                0.36247,                0.51823,                0.43901,                0.88274,                0.78787,                0.51264,                0.65665,                 0.4714,                0.67436,                0.36928,                0.46576,                0.31651,                 1.2672,                 3.2849,                 1.8001,                 1.4081,              0.0035479,              0.0035479,              0.0035479
                    191,                0.35637,                0.50272,                0.43795,                0.89271,                0.83415,                0.50547,                0.66451,                0.48603,                0.69491,                0.37254,                0.47087,                0.32361,                 1.2798,                 3.2786,                 1.7839,                 1.4143,              0.0035138,              0.0035138,              0.0035138
                    192,                0.35347,                0.50529,                0.44126,                 0.8672,                0.79097,                0.50717,                0.66982,                0.48709,                 0.5923,                0.40897,                0.47908,                0.32253,                 1.2837,                 3.2749,                 1.7711,                  1.415,              0.0034797,              0.0034797,              0.0034797
                    193,                0.36577,                0.52559,                0.44843,                0.89972,                0.72398,                0.55151,                0.66677,                0.49294,                0.63588,                0.39609,                 0.4774,                0.31887,                  1.279,                 3.2397,                 1.7779,                 1.4001,              0.0034455,              0.0034455,              0.0034455
                    194,                0.35258,                0.53151,                0.42875,                0.86007,                0.72585,                0.54765,                0.66122,                0.48222,                  0.638,                0.39262,                0.48542,                0.31632,                 1.2865,                 3.3224,                 1.7715,                  1.402,              0.0034114,              0.0034114,              0.0034114
